Permit Number,Permit Type,Permit Sub-Type,Address,Status,Project Type,Valuation,Parcel Number,Date Entered,Date Issued,Date Completed,Date Expired,Date Renewed,Class Code,Class Code Description,Class Code Section,Number of Units,Permit Type Code
10STP1010,SINGLE TRADE PERMIT,Sign,,PENDING,NEW COMMERCIAL CONSTRUCTION,$0.00,,07/01/2010,07/01/2010,,01/01/1900,,329,Structures Other Than Buildings,Section III - New Non-Residential Buildings,,Commercial
10STP1063,SINGLE TRADE PERMIT,Mechanical,"2903 SANTA MONICA BLVD
SANTA MONICA, CA 00000
",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$15500.00,4267011020,07/12/2010,07/12/2010,,01/01/1900,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
10STP1085,SINGLE TRADE PERMIT,Sign,"501 BROADWAY
SANTA MONICA, CA 90401
(34.01611302200047, -118.49242849399968)",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$5000.00,4291019027,07/14/2010,07/14/2010,,01/01/1900,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
10STP1392,SINGLE TRADE PERMIT,Plumbing,"1715 14TH ST
SANTA MONICA, CA 90404
(34.01938317700046, -118.48016037999969)",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$109.00,4283013025,08/24/2010,08/24/2010,,01/01/1900,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
10STP1441,SINGLE TRADE PERMIT,Plumbing,,PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$3000.00,,09/01/2010,09/01/2010,,01/01/1900,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
10STP1934,SINGLE TRADE PERMIT,Sandblasting,"2448 MAIN ST
SANTA MONICA, CA 00000
",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$3800.00,4288015035,11/10/2010,11/10/2010,,01/01/1900,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
11STP1497,SINGLE TRADE PERMIT,Doors,"535 OCEAN AVE
SANTA MONICA, CA 90402
(34.024055673000476, -118.50989616599969)",PENDING,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$33773.00,4293008173,07/29/2011,07/29/2011,,01/01/1900,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,,Commercial
11STP1542,SINGLE TRADE PERMIT,Roofing,"1630 STEWART ST
SANTA MONICA, CA 77007
",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$0.00,4268001039,08/04/2011,08/04/2011,,01/01/1900,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
11STP2145,SINGLE TRADE PERMIT,Office,"2900 31ST ST
SANTA MONICA, CA 60690
",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$24975.00,4272029021,10/25/2011,10/25/2011,,01/01/1900,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
12CBP0821,COMBINATION PERMIT,Building Combo,"1622 SAN VICENTE BLVD
SANTA MONICA, CA 90402
(34.04165836800047, -118.50136012599972)",ISSUED,NEW SINGLE FAMILY CONSTRUCTION,$634129.00,4279021016,09/17/2012,09/17/2012,,09/15/2015,,101,One-Family Houses Detached,Section I - Residential Housekeeping Buildings,0,Residential
12CBP0868,COMBINATION PERMIT,Building Combo,"2120 COLORADO AVE
SANTA MONICA, CA 60690
",PENDING,UNDEFINED,$0.00,4275020025,09/27/2012,09/27/2012,,03/26/2013,,,,,,Commercial
12CBP0977,COMBINATION PERMIT,Building Combo,"320 22ND ST
SANTA MONICA, CA 90402
(34.044297232000474, -118.4937574009997)",PENDING,UNDEFINED,$0.00,4278024012,10/24/2012,10/24/2012,,04/22/2013,,,,,,Commercial
12CBP1065,COMBINATION PERMIT,Building Combo,"530 PICO BLVD
SANTA MONICA, CA 00000
",PENDING,UNDEFINED,$0.00,4289011043,11/19/2012,11/19/2012,,05/18/2013,,,,,,Commercial
12STP0215,SINGLE TRADE PERMIT,Drywall,"100 WILSHIRE BLVD
SANTA MONICA, CA 90401
(34.01697645700045, -118.50091241899969)",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$5000.00,4291001035,02/06/2012,02/06/2012,,01/01/1900,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
12STP1110,SINGLE TRADE PERMIT,EV Chargers,"515 OCEAN AVE
SANTA MONICA, CA 90402
(34.02439559800047, -118.51047534199972)",PENDING,SIGNIFICANT SINGLE FAMILY CONSTRUCTION,$200000.00,4293008059,06/11/2012,06/11/2012,,01/01/1900,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,,Commercial
12STP1227,SINGLE TRADE PERMIT,Fence/Walls,"1685 MAIN ST
SANTA MONICA, CA 00000
",ISSUED,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$8000.00,4290012902,07/02/2012,07/02/2012,,01/01/1900,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,,Commercial
12STP2064,SINGLE TRADE PERMIT,,"1311 BERKELEY ST
SANTA MONICA, CA 90403
(34.03815251500049, -118.4707999909997)",PENDING,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$1500.00,4267013018,11/01/2012,11/01/2012,,01/01/1900,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,,Commercial
13CBP0199,COMBINATION PERMIT,Building Combo,"2211 ASHLAND AVE
SANTA MONICA, CA 90405
(34.01265573100045, -118.46037363399972)",PENDING,UNDEFINED,$0.00,4272010019,03/15/2013,03/15/2013,,09/11/2013,,,,,,Commercial
13CBP0282,COMBINATION PERMIT,Building Combo,"2001 SANTA MONICA BLVD
SANTA MONICA, CA 90067
",PENDING,UNDEFINED,$0.00,4276027015,04/11/2013,04/11/2013,,10/08/2013,,,,,,Commercial
13CBP0526,COMBINATION PERMIT,Building Combo,"1776 MAIN ST
SANTA MONICA, CA 90407
(34.00991382200044, -118.49048606299971)",PENDING,UNDEFINED,$0.00,4290015035,06/27/2013,06/27/2013,,12/24/2013,,,,,,Commercial
13CBP0695,COMBINATION PERMIT,Building Combo,"2448 MAIN ST
SANTA MONICA, CA 00000
",PENDING,UNDEFINED,$0.00,4288015035,08/15/2013,08/15/2013,,02/11/2014,,,,,,Commercial
13CBP0971,COMBINATION PERMIT,Building Combo,"1717 4TH ST
SANTA MONICA, CA 00000
",PENDING,UNDEFINED,$0.00,4290006904,11/05/2013,11/05/2013,,05/04/2014,,,,,,Commercial
13STP0909,SINGLE TRADE PERMIT,Awning,"1601 MONTANA AVE
SANTA MONICA, CA 93150
",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$5000.00,4279025021,05/29/2013,05/29/2013,,01/01/1900,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
13STP1254,SINGLE TRADE PERMIT,Roofing,"1248 3RD STREET PROM
SANTA MONICA, CA 92024
",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$24750.00,4291002009,07/18/2013,07/18/2013,,01/01/1900,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
13STP1397,SINGLE TRADE PERMIT,Plumbing,"1824 20TH ST
SANTA MONICA, CA 90404
(34.02250764900049, -118.47282888399968)",PENDING,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$375.00,4274011034,08/01/2013,08/01/2013,,01/01/1900,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,,Commercial
13STP1858,SINGLE TRADE PERMIT,Fence/Walls,"1925 EUCLID ST
SANTA MONICA, CA 90404
(34.015892722000444, -118.47803910199968)",PENDING,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$7500.00,4283029016,10/08/2013,10/08/2013,,01/01/1900,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,,Commercial
13STP2318,SINGLE TRADE PERMIT,Sign,"2512 WILSHIRE BLVD
SANTA MONICA, CA 90402
(34.03560721900044, -118.47793132099969)",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$2000.00,4276020002,12/13/2013,12/13/2013,,01/01/1900,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
14CBP0060,COMBINATION PERMIT,Building Combo,"2720 MAIN ST
SANTA MONICA, CA 90274
",PENDING,UNDEFINED,$0.00,4288011005,01/27/2014,01/27/2014,,07/26/2014,,,,,,Commercial
14CBP0182,COMBINATION PERMIT,Building Combo,"2001 SANTA MONICA BLVD
SANTA MONICA, CA 90067
",Issued,SIGNIFICANT COMMERCIAL CONSTRUCTION,$224550.00,4276027015,03/05/2014,03/07/2014,,06/24/2015,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,0,Commercial
14CBP0258,COMBINATION PERMIT,Building Combo,"2701 OCEAN PARK BLVD
SANTA MONICA, CA 94301
",PENDING,UNDEFINED,$0.00,4270014046,03/31/2014,03/31/2014,,09/27/2014,,,,,,Commercial
14CBP0273,COMBINATION PERMIT,Building Combo,"1309 SUNSET AVE
SANTA MONICA, CA 90405
(34.006765661000486, -118.46861357099971)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$0.00,4285026015,04/03/2014,04/03/2014,,07/01/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Commercial
14CBP0481,COMBINATION PERMIT,Building Combo,"710 23RD ST
SANTA MONICA, CA 90402
(34.04033775100049, -118.4874385769997)",Issued,SIGNIFICANT SINGLE FAMILY CONSTRUCTION,$66731.28,4278020007,06/05/2014,06/17/2014,,06/12/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Commercial
14STP0588,SINGLE TRADE PERMIT,Demolition,"2120 MARINE ST
SANTA MONICA, CA 90025
",PENDING,UNDEFINED,$0.00,4272013004,04/01/2014,04/01/2014,,01/01/1900,,,,,,Commercial
14STP0898,SINGLE TRADE PERMIT,Seismic Retrofit SMMC 8.68,"1420 BERKELEY ST
SANTA MONICA, CA 90404
(34.03660804500049, -118.46909917899967)",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$40000.00,4267017009,05/13/2014,05/13/2014,,08/25/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Commercial
14STP0936,SINGLE TRADE PERMIT,Photovoltaic,"2728 2ND ST
SANTA MONICA, CA 95015
",Issued,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$0.00,4288003011,05/19/2014,05/19/2014,,07/27/2015,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,0,Commercial
C09779,COMBINATION BUILDING PER,Building Combo,"1685 MAIN ST
SANTA MONICA, CA 90401
(34.01118533500005, -118.49179801799994)",ISSUED,NEW SINGLE FAMILY CONSTRUCTION,$0.00,4290012902,03/13/2002,03/13/2012,,07/01/2015,,101,One-Family Houses Detached,Section I - Residential Housekeeping Buildings,0,Commercial
M10869,MECHANICAL PERMIT,Mechanical,"1447 CLOVERFIELD BLVD
SANTA MONICA, CA 73064
",PENDING,UNDEFINED,$0.00,4275004026,06/12/1997,06/12/1997,,01/01/1900,,,,,,Commercial
08STP1259,SINGLE TRADE PERMIT,Electrical,"1440 HARVARD ST
SANTA MONICA, CA 90404
(34.03373870600046, -118.47147821199968)",PENDING,NEW COMMERCIAL CONSTRUCTION,$20000.00,4267020025,08/01/2008,01/01/1900,,01/01/1900,,319,Churches & Other Religious Buildings,Section III - New Non-Residential Buildings,,Commercial
08STP1770,SINGLE TRADE PERMIT,Electrical,"2001 OLYMPIC BLVD
SANTA MONICA, CA 90401
(34.024463469000466, -118.4749576479997)",PENDING,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$35000.00,4275024016,10/28/2008,01/01/1900,,01/01/1900,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,,Commercial
08STP2062,SINGLE TRADE PERMIT,Sign,"2402 WILSHIRE BLVD
SANTA MONICA, CA 90403
(34.03414776700049, -118.47972163599968)",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$2000.00,4276017042,12/11/2008,01/01/1900,,01/01/1900,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
10CBP0729,COMBINATION PERMIT,Building Combo,"380 SANTA MONICA PIER
SANTA MONICA, CA 90401
(34.008729762000485, -118.49816580899972)",PENDING,NEW COMMERCIAL CONSTRUCTION,$5500.00,4290023900,07/09/2010,01/01/1900,,01/05/2011,,318,Amusement & Recreation Buildings,Section III - New Non-Residential Buildings,,Commercial
10STP1792,SINGLE TRADE PERMIT,Electrical,"2500 MICHIGAN AVE
SANTA MONICA, CA 00000
",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$0.00,4268016902,10/21/2010,01/01/1900,,01/01/1900,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
10STP2202,SINGLE TRADE PERMIT,Electrical,"1147 FRANKLIN ST
SANTA MONICA, CA 90403
(34.04131265600046, -118.4730107469997)",PENDING,UNDEFINED,$0.00,4266001025,12/21/2010,01/01/1900,,01/01/1900,,,,,,Commercial
10STP2205,SINGLE TRADE PERMIT,Demolition,"228 MARGUERITA AVE
SANTA MONICA, CA 91402
",PENDING,UNDEFINED,$10000.00,4293008046,12/22/2010,01/01/1900,,01/01/1900,,649,Demolish All Other Than Dwellings,Section VI - Demolitions,,Commercial
11CBP0621,COMBINATION PERMIT,Building Combo,"1685 MAIN ST
SANTA MONICA, CA 00000
",ISSUED,NEW SINGLE FAMILY CONSTRUCTION,$519920.00,4290012902,07/06/2011,07/02/2014,,07/02/2017,,101,One-Family Houses Detached,Section I - Residential Housekeeping Buildings,,Residential
11STP1442,SINGLE TRADE PERMIT,,"1418 7TH ST
SANTA MONICA, CA 07940
",PENDING,UNDEFINED,$8600.00,4291020025,07/21/2011,01/01/1900,,01/01/1900,,,,,,Commercial
11STP2484,SINGLE TRADE PERMIT,Mechanical,"2336 SANTA MONICA BLVD
SANTA MONICA, CA 90025
",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$20700.00,4275004029,12/14/2011,01/01/1900,,01/01/1900,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
12CBP0230,COMBINATION PERMIT,Building Combo,"3420 OCEAN PARK BLVD
SANTA MONICA, CA 60690
",PENDING,UNDEFINED,$20000.00,4272029015,03/29/2012,01/01/1900,,09/25/2012,,438,Residential Garages & Carports (Attached or Not),Section IV - Additions & Alterations,1,Commercial
12CBP0486,COMBINATION PERMIT,Building Combo,"3130 WILSHIRE BLVD
SANTA MONICA, CA 90067
",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$20000.00,4267002025,06/12/2012,01/01/1900,,12/09/2012,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
12CBP0493,COMBINATION PERMIT,Building Combo,"1220 3RD STREET PROM
SANTA MONICA, CA 20852
",PENDING,SIGNIFICANT COMMERCIAL CONSTRUCTION,$250000.00,4291002004,06/14/2012,01/01/1900,,12/11/2012,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
12CBP0543,COMBINATION PERMIT,Building Combo,"1685 MAIN ST
SANTA MONICA, CA 00000
",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$1000.00,4290012902,06/25/2012,01/01/1900,,12/22/2012,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
12CBP0566,COMBINATION PERMIT,Building Combo,"1685 MAIN ST
SANTA MONICA, CA 00000
",PENDING,NEW MULTI-FAMILY CONSTRUCTION,$1367518.08,4290012902,07/02/2012,01/01/1900,,12/29/2012,,105,5 or More Family Buildings,Section I - Residential Housekeeping Buildings,5,Commercial
12CBP0592,COMBINATION PERMIT,Building Combo,"847 6TH ST
SANTA MONICA, CA 90404
(34.02546648100048, -118.50200625799971)",PENDING,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$5000.00,4292008013,07/11/2012,01/01/1900,,01/07/2013,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,1,Commercial
12CBP0661,COMBINATION PERMIT,Building Combo,"2725 6TH ST
SANTA MONICA, CA 90405
(34.00352126800044, -118.4776982299997)",PENDING,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$30686.95,4287019007,07/31/2012,01/01/1900,,01/27/2013,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,,Commercial
12CBP0702,COMBINATION PERMIT,Building Combo,"2619 WASHINGTON AVE
SANTA MONICA, CA 90403
(34.03932266500044, -118.4800581019997)",PENDING,UNDEFINED,$0.00,4266014052,08/14/2012,01/01/1900,,02/10/2013,,,,,,Commercial
12CBP0764,COMBINATION PERMIT,Building Combo,"341 23RD ST
SANTA MONICA, CA 90402
(34.04463353200049, -118.49234027499972)",PENDING,UNDEFINED,$45000.00,4278014019,08/28/2012,01/01/1900,,02/24/2013,,,,,,Commercial
12CBP0770,COMBINATION PERMIT,Building Combo,"2700 PENNSYLVANIA AVE
SANTA MONICA, CA 90405
(34.03032069800048, -118.46929307199969)",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$29625.00,4268001032,08/29/2012,01/01/1900,,02/25/2013,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,1,Commercial
12CBP0788,COMBINATION PERMIT,Building Combo,"304 21ST ST
SANTA MONICA, CA 90255
",PENDING,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$35682.50,4279002011,09/06/2012,01/01/1900,,03/05/2013,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,1,Commercial
12CBP0859,COMBINATION PERMIT,Building Combo,"1355 3RD STREET PROM
SANTA MONICA, CA 00000
",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$50000.00,4291013012,09/25/2012,01/01/1900,,03/24/2013,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
12CBP1086,COMBINATION PERMIT,Building Combo,"1032 FRANKLIN ST
SANTA MONICA, CA 90403
(34.04291778400045, -118.47498921499971)",PENDING,SIGNIFICANT SINGLE FAMILY CONSTRUCTION,$75000.00,4266006061,11/27/2012,01/01/1900,,05/26/2013,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,1,Commercial
12CBP1135,COMBINATION PERMIT,Building Combo,"2525 COLORADO AVE
SANTA MONICA, CA 00000
",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$48600.00,4275017012,12/17/2012,01/01/1900,,06/15/2013,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,1,Commercial
12STP0293,SINGLE TRADE PERMIT,Electrical,"900 SANTA MONICA BLVD
SANTA MONICA, CA 91358
",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$10500.00,4282026021,02/16/2012,01/01/1900,,01/01/1900,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
12STP1272,SINGLE TRADE PERMIT,Single Family Dwelling,"2222 PIER AVE
SANTA MONICA, CA 90405
(34.01197556000045, -118.45936427399971)",PENDING,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$20000.00,4272012022,07/11/2012,01/01/1900,,01/01/1900,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,,Commercial
12STP1589,SINGLE TRADE PERMIT,Demolition,"2436 21ST ST
SANTA MONICA, CA 90405
(34.01562138000048, -118.46485259199972)",PENDING,UNDEFINED,$5000.00,4273019018,08/28/2012,01/01/1900,,01/01/1900,,649,Demolish All Other Than Dwellings,Section VI - Demolitions,,Commercial
12STP1618,SINGLE TRADE PERMIT,Electrical,"2632 SANTA MONICA BLVD
SANTA MONICA, CA 90210
",PENDING,INSIGNIFICANT COMMERCIAL CONSTRUCTION,$10000.00,4267021001,08/31/2012,01/01/1900,,01/01/1900,,437,Add or Alter All Other Buildings & Structures,Section IV - Additions & Alterations,,Commercial
12STP1851,SINGLE TRADE PERMIT,Photovoltaic,"1314 17TH ST
SANTA MONICA, CA 90404
(34.02736774100049, -118.48407841399973)",PENDING,INSIGNIFICANT SINGLE FAMILY CONSTRUCTION,$8000.00,4282018089,10/03/2012,01/01/1900,,01/01/1900,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,,Commercial
13CBP0001,COMBINATION PERMIT,Building Combo,"1685 MAIN ST
SANTA MONICA, CA 00000
",PENDING,SIGNIFICANT SINGLE FAMILY CONSTRUCTION,$200000.00,4290012902,01/02/2013,01/01/1900,,07/01/2013,,434,Add or Alter Dwellings (No Increase or Decrease In Units),Section IV - Additions & Alterations,1,Commercial
