Type,Code,Code Section,Taxicab Rule Number,Violation Description,Penalty Schedule,City Penalty,Current State Fee,Fine/Penalty,Unit,Additional Cost,Late Penalty Charge,Comments,Notes
Administrative Citation Fine,SMMC,4.44.030,,Sale of tobacco by vending machine or out of package,,,,$750.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,4.68.040,,Failure to Obtain Community Events Permit,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.04.240,,"Dogs, Cats or Animals in Eating Places",,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.08.060,,Unapproved Use of Privy (Port-a-potty),,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.08.070,,Failure to Clean Adjacent Sidewalk,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.08.080,,Failure to Maintain Clean Premises,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.08.090,,Failure to Properly Store Fertilizer,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.08.100,,Excessive manure/fertilizer as defined Near Residential,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.08.110,,Offensive Substance on Public Property,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.08.140,,Removal/Destruction of Building Officer's Posted Notice,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.08.170,,Unauthorized Refuse Containers in the Public Way,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.08.330,,Obstruction of Water Meter/Gate Valves,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.08.340,,Unauthorized Private Dumping Ground,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.08.370,,Failure to Comply with County Health Department Standards,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.08.380,,Refuse Collection During Prohibited Hours,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.20.040,,Prohibited Discharge Standards,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.20.050,,Specific Pollutant Limitations,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.20.070,,Pretreatment Facilities,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.20.080,,Additional Pretreatment Measures,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.20.090,,Spill Prevention Plans,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.20.100,,Good Housekeeping Provision,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.20.110,,Requirements for Restaurants and other Commercial Cooking,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.20.310,,Periodic Compliance Reports,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.20.320,,Report of Changed Conditions,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.20.330,,Reports of Potential Problems/Slug control Plans,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.20.370,,Monitoring and Sampling Pre-notification,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.20.390,,Sample Collection,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.20.400,,Analytical Requirements,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.20.420,,Falsifying Information,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.20.430,,Inspection and Sampling,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,5.20.440,,Monitoring Facilities,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.04.020,,Operating Business without Proper City License,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.04.270,,Failure to Post Business License,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.14.060,,Service Business Activities Requiring Police Permits,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.28.030,,News rack - Operating and Maintenance Requirements,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.28.030,,News rack Without Permit,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.28.040,,News rack - Maintenance and Installation Standards,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.28.050,,News rack - Standards for Materials Sold,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.32.070,,Soliciting Trade on Sidewalk,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.46.020,,Failure to Obtain Permit for Liquidation Sale,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.46.100,,Liquidation Sale - Failure to Post Permit,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.48.030,,Vehicle for Hire - Business license required,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.48.040,,Vehicle for Hire - Compulsory Insurance Coverage ,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.48.050,,Vehicle for Hire - Driving of Vehicles,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.48.060,,Vehicle for Hire - Direct Route,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.48.065,,Vehicle for Hire - Compensation for Access to Passengers,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.49.020,,Taxicabs - Rules and Regulations,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.49.040 (b),,Taxicabs - Franchise Required,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.49.040 (i)(1),,Taxicabs - Fees - Annual Franchise Fees,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.49.040 (i)(2),,Taxicabs - Fees - Annual Taxicab Vehicle Permit Fees,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.49.040(g),,Taxicabs - Taxicab Vehicle Permit Required,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.49.040(h),,Taxicabs - Taxicab Driver’s Permit Required,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.49.050(c),,Taxicabs - Effect of Suspension or Revocation,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.49.060 ,,Taxicabs - Unauthorized Taxicab Services Prohibited,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.49.080,,Taxicabs - Taxicabs Identification and Vehicle Operating Requirements,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.49.090,,Taxicabs - Parking of Vehicles; Stands,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.49.095,,Vehicle for Hire  -  Access to Passengers on Business Premises,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.49.100,,Taxicabs - Taxicab Signs,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.49.110,,Taxicabs - Taximeters and Rates,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.49.120,,Taxicabs - Full Use of Taxicab,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.49.130,,Taxicabs - Taxicab Identification Decal Required,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.116.040,,Unauthorized Display on Municipal Pier,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.120.030,,Valet Parking without Permit,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.120.060,,Valet Parking - Operating Requirements,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.120.070,,Valet Parking -  Penalties,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.120.090,,Valet Parking: Insurance Requirements,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.120.110,,Valet Parking - Regulations,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.120.120,,Authorized Valet Parking Zones,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.120.130,,Valet Parking: Conformance with Applicable Laws,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.120.140,,Valet Parking - Conditions Imposed on Permit,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,6.120.150,,Valet Parking - Requirements for Downtown Valets,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.04.010,,Excavation in The Public Way Without Permit,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.04.100,,Location of Excavations,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.04.160,,Excavation in Public Way - Vehicle/Pedestrian Access,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.04.210,,Regulations for Resurfacing Work in Public Way,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.04.230,,Excavation in Public Way - Vehicle Crossing,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.04.240,,Excavation in the Public Way - Per Plat/Application,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.04.240,,Excavation in the Public Way - Due Diligence,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.04.490,,Connection of Sewer Without Permit,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.04.650,,Sewage from Vehicle into Sewer System Without Permit,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.04.670,,Materials/Equipment in Public Way Without Permit,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.04.700,,Revocation of Permits - Work to Cease,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.04.710,,Failure to Remove Materials/Equipment in Public Way,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.04.720,,Illumination of Building Materials Stored in Public Way,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.04.730,,Regulations for Building Material Deposits and Cranes,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.04.740,,Mixing/Storing Cementitious Materials On/Near Street,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.04.750,,Failure to Post Street Use Permit,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.04.760,,Construction Debris in Public Way,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.10.040,,Urban Runoff Pollution Control Practices - All Properties,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.10.050,,Urban Runoff Reduction Requirements,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.10.060,,Urban Runoff Requirements for Construction Sites,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.12.060,,Temporary Water Service Without Permit.,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.12.090,,Additional Best Management Practices,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.12.350,,Unauthorized Use of City Water,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.16.020,,Excessive Water Use,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.18.090,,Violation of Plumbing Code Standards,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.36.020,,Moving Building/Structure on City Street Without Permit,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.40.110,,Planting of Tree in Parkway Without Permit,,,,$300.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.40.110,,Trim or Prune City Tree without Permit,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.40.110,,Injure/Interfere With City Tree - No Replacement Required,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.40.110,,Removal of City Tree without Permit,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.40.110,,Injure/Interfere With City Tree - Replacement Required,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.40.130,,Interference with City Tree Administration,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.40.140,,Intentional Damage to City Tree,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.40.150,,Unauthorized Attachment to City Tree,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.40.160,,Protection of Trees During Construction/Demolition,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.44.020,,Maintain Premises Free of Weeds,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.48.020,,Litter in Public Places,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.48.040,,Sweeping litter into gutters,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.48.050,,Property Owner to Keep Adjacent Public Way Free of Litter,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.48.060,,Litter on Private Property,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,7.48.070,,Owner to Maintain Premises Free of Litter,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.04.010,,Failure to Maintain - Technical Codes,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.08.030,,Continuing Use after Order to Discontinue Use,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.08.050,,Construction Work Without Permit,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.08.070,,Construction Work with Expired Permit,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.08.100,,Failure to Provide Special Inspection as Required,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.08.110,,Installation of Work from Unapproved Fabricator,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.08.120,,Failure to Provide Structural Observation as Required,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.08.130,,Occupancy Prior to Issuance of Certificate of Occupancy/ Final Inspection Approval,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.08.160,,Connection to Utilities Without Approval,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.08.160,,Reconnecting Utilities after Order to Disconnect,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.08.170,,Sandblasting Regulations - General,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.08.170,,Sandblasting - Failure to Give Three (3) Day Notice,,,,$750.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.08.190,,Violation of Temporary Trailer Regulations,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.40.020,,Fireworks Prohibited,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.08.200,,Failure to Brace Water Heater,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.52.020,,Maintaining Pool/Spa/Fountain Water Clarity,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.84.020,,Maintaining Drainage,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.96.030,,Responsibility for Maintenance - Public Nuisances,,,,$1000.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.96.220,,"Abandoned, Wrecked, Dismantled and Inoperative Vehicles",,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.100.010,,Violation of Means and Methods Plan,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.100.040,,Failure to Provide Construction Notice to Residential Tenant,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.104.060,,Underground Storage Tank (UST) Permit ,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.104.060,,Underground Storage Tank Documentation On-Site,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.104.140,,Underground Storage Tank System Maintenance (Minor),,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.104.140,,Underground Storage Tank System Maintenance (Intermed.),,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.104.140,,Underground Storage Tank System Maintenance (Major),,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.104.180,,Underground Storage Tank System Monitoring (Major),,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,8.108.100,,Landscape and Irrigation Requirements,,,,$250.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.02.020,,Excessive Yard Sales in the R-1 District,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.04.020,,Excessive Yard Sales in the R2R District,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.06.020,,Excessive Yard Sales in the R-2 District,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.08.020,,Excessive Yard Sales in the R-3 District,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.10.020,,Excessive Yard Sales in the R-4 District,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.42.020,,Excessive Yard Sales in the R-MH District,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.44.020,,Excessive Yard Sales in the OP-1 District,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.48.020,,Excessive Yard Sales in the OP-Duplex District,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.50.020,,Excessive Yard Sales in the OP-2 District,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.52.020,,Excessive Yard Sales in the OP-3 District,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.54.020,,Excessive Yard Sales in the OP-4 District,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.62.020,,Excessive Yard Sales in the R2B District,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.64.020,,Excessive Yard Sales in the R3R District,,,,$100.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.12.030,,Unapproved sidewalk café in RVC district,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.14.030,,Unapproved sidewalk café in BCD district,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.15.030,,"Unapproved sidewalk café in BSC, BSC3, BSC4 district",,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.16.030,,Unapproved sidewalk café in C2 district,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
Administrative Citation Fine,SMMC,9.04.08.18.030,,Unapproved sidewalk café in C3 district,,,,$500.00,,,,Santa Monica Municipal Code (SMMC),
