Ledger Type,Cost Center Type,Fund Id,Fund Description,Expenditure Category Id,Expenditure Category Description,Project ID,Project Description,Fiscal year,July,August,September,October,November,December,January,February,March,April,May,June
B1,JB,00001,General Fund                  ,710,GENERAL GOVERNMENT (CIP)      ,0462,DISTRIBUTED TIMEKEEPING       ,13,73962.5,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,740,RECREATIONAL & CULTURAL (CIP) ,0520,415 PCH                       ,13,7697.93,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0522,FEASIBILITY & PRELIM DSGN 20TH,13,60000,0,0,0,0,0,0,0,0,-7480.2,0,0
B1,JB,00001,General Fund                  ,730,PUBLIC SAFETY (CIP)           ,0529,FIRE STATION 3 STRUCTURAL EVAL,13,76915.2,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0652,CALIFORNIA INCLINE DESIGN     ,13,2556920.04,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0655,PIER BRIDGE IMPROVEMENTS      ,13,128847.17,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0655,PIER BRIDGE-SAFETY IMPR       ,13,150000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0678,CAL INCLINE PED. OVERCROSSING ,13,496000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,720,COMM & ECON DEV (CIP)         ,0685,PALISADES BLUFF STABILIZATION ,13,400000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0715,PARKING REVENUE EQUIPMENT     ,13,3500000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0724,STREET LIGHT MODERNIZATION PRO,13,447169.01,0,0,0,0,0,0,0,0,-130959.02,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0725,ALLEY REVITALIZATION PROJECT  ,13,12847.03,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,740,RECREATIONAL & CULTURAL (CIP) ,0747,PARK RESTROOM REPLACEMENT     ,13,363571.06,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,720,COMM & ECON DEV (CIP)         ,0834,PROMENADE MAP CASE REPLACEMENT,13,0,0,0,0,0,0,0,100000,0,0,0,0
B1,JB,00001,General Fund                  ,720,COMM & ECON DEV (CIP)         ,0834,WILSHIRE & 3RD STREETSCAPE IMP,13,150000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,740,RECREATIONAL & CULTURAL (CIP) ,0840,BEACH RESTROOM ACCESSIBILITY  ,13,1764,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0874,350 ON-STREET PKG METERS W SEN,13,323000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,740,RECREATIONAL & CULTURAL (CIP) ,0955,URBAN FOREST RENEWAL          ,13,200000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,710,GENERAL GOVERNMENT (CIP)      ,0972,CITY TV RPLCMNT-PLAYBACK SYSTE,13,130000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0994,PARKING GUIDANCE SYSTEM       ,13,100000,0,0,0,0,0,0,521833,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0995,MULTI-MODAL TRAVEL&PKG        ,13,292765,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,720,COMM & ECON DEV (CIP)         ,2001,DEMO OR REHAB CITY PROP       ,13,551644.14,0,0,0,0,0,0,0,0,-355226.09,0,0
B1,JB,00001,General Fund                  ,710,GENERAL GOVERNMENT (CIP)      ,2060,HMG-CITY HALL                 ,13,407346.04,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,710,GENERAL GOVERNMENT (CIP)      ,3140,CITY TV STUDIO EQUIPMENT      ,13,93709.29,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",4017,TRAINING ROOM F&E             ,13,50000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",4017,CIVIC PKG TENNT IMPR-BOND FUND,13,273457.48,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,730,PUBLIC SAFETY (CIP)           ,4020,FIRE DEPT DISPATCH CENTER     ,13,20990,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,710,GENERAL GOVERNMENT (CIP)      ,4030,SHOTGUN HOUSE PREPARATION     ,13,6298.42,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,720,COMM & ECON DEV (CIP)         ,4032,PICO BRANCH LIBRARY           ,13,6292940.5,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,720,COMM & ECON DEV (CIP)         ,4032,PICO LIBRARY OPENING DAY COSTS,13,788012.55,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",4049,PKG STRUCTURE 6 CONSTRUCTION  ,13,19175096.91,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,710,GENERAL GOVERNMENT (CIP)      ,4051,SMMUSD PLANNING & DESIGN      ,13,0,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,710,GENERAL GOVERNMENT (CIP)      ,4061,PRINT SHOP RELOCATION         ,13,6930,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,740,RECREATIONAL & CULTURAL (CIP) ,4062,EARLY CHILDHOOD ED CENTER     ,13,5563000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,730,PUBLIC SAFETY (CIP)           ,4063,FIRE STATION 1                ,13,2990817.5,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",4071,BICYCLE INFRASTRUCTURE        ,13,900000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",4072,BICYCLE EDU & AWARENESS       ,13,164187.86,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",4073,BICYCLE PROJ READI & GRANT MAT,13,654657.75,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",4079,ELEVATORS DWNTWN PKG STRUCTURE,13,3301375.68,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",4080,PIER OCEAN FRONT WLK PKG STRUC,13,475775.1,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,740,RECREATIONAL & CULTURAL (CIP) ,4087,CHAIN REACTION SCULPTURE      ,13,0,0,0,0,0,0,0,0,0,0,75000,0
B1,JB,00001,General Fund                  ,740,RECREATIONAL & CULTURAL (CIP) ,6002,HOTCHKISS PARK RESTROOMS      ,13,45650,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,740,RECREATIONAL & CULTURAL (CIP) ,6009,BEACH/PARK SIGNAGE & WAYFINDIN,13,41028.69,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,720,COMM & ECON DEV (CIP)         ,6039,LIBRARY GARAGE LED LIGHTING UP,13,177808,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,740,RECREATIONAL & CULTURAL (CIP) ,6042,NORTH BEACH PLAY AREA STUDY   ,13,25000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7003,BORDERLINE NEIGH IMPRV        ,13,24681.9,0,0,0,0,0,0,0,0,-24681.9,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7005,REAL TIME BEACH PKG SIGNS     ,13,126249.48,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7010,BIKE TECHNO DEMO PRO          ,13,29885,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7021,OCEAN PK BLVD IMP-LINC TO NEL ,13,506008.03,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7022,BORDERLINE NEIGH IMPROVEMENTS ,13,89848.36,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7024,ATMS SPEC OFF DIST-PHASE 4    ,13,1654016.14,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7038,FARMERS MARKET TRAFFIC CONTROL,13,4466.07,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7039,LUCE IMPLEMENTATION SPEC PLANS,13,181058.79,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7040,COLORADO AVE ESPLANADE        ,13,5715000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7042,SAFE ROUTES TO SCHOOL (SAMOHI),13,54968.76,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7043,ATMS AD TRAFFIC MGMT SYS-PHS 5,13,92489.96,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,710,GENERAL GOVERNMENT (CIP)      ,7057,LUCE MONITOR MEASURE IMPLEMENT,13,664821.61,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7060,EXPO MAINTENANCE YARD BUFFER  ,13,142177.93,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7061,EXPO LIGHT RAIL SUPPORT       ,13,228354.85,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7063,I-10 OFF-RAMP SIGNAGE IMPROVEM,13,66010.46,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7072,SPEED SURVEY UPDATE           ,13,150000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7073,4TH CRT BIKE CONNECTION       ,13,20000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7076,LINCOLN BLVD STREETSCAPE      ,13,360000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7080,BERKELEY TRAFFIC ENGINEERING  ,13,35342.21,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7085,TRAFFIC SAFETY SIGNAL ENHANCEM,13,750000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,710,GENERAL GOVERNMENT (CIP)      ,8009,PAYROLL SYSTEM UPGRADE        ,13,229527.25,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,710,GENERAL GOVERNMENT (CIP)      ,8011,CIP MANAGEMENT SOFTWARE       ,13,146020,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,710,GENERAL GOVERNMENT (CIP)      ,8012,ACCELA AUTOMATION             ,13,153497.61,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,730,PUBLIC SAFETY (CIP)           ,8015,PS VIDEO STORAGE SYS REPLACEME,13,75000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,710,GENERAL GOVERNMENT (CIP)      ,8016,BUSINESS LICENSE SOFTWARE UPGR,13,90000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,730,PUBLIC SAFETY (CIP)           ,8018,RADIOS UPGRADE                ,13,213000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,730,PUBLIC SAFETY (CIP)           ,8019,MOBILE DATA COMPUTER REPLACEME,13,360000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",9026,UTILITY UNDERGROUNDING        ,13,75000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",9042,PILOT TRTMT TECH OLYMPIC WATER,13,500000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00001,General Fund                  ,760,WATER & WASTEWATER (CIP)      ,9045,OLYMPIC SUBBASIN REMEDIATION  ,13,0,0,0,0,0,0,0,1370805,0,0,0,0
B1,JB,00004,Special Revenue Source Fund   ,740,RECREATIONAL & CULTURAL (CIP) ,0081,PERCENT FOR ARTS              ,13,785,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00004,Special Revenue Source Fund   ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0356,ST JOHN DA PUBLIC IMPROV MITIG,13,86546.8,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00004,Special Revenue Source Fund   ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0367,OLYMPIC BLVD CROSSWALKS       ,13,176217,0,0,0,-22817,0,0,0,0,0,0,0
B1,JB,00004,Special Revenue Source Fund   ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0407,TRAFFIC SIGNAL-OTHER          ,13,11492.89,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00004,Special Revenue Source Fund   ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0407,TRAFFIC SIGNAL-PLAYA VISTA    ,13,114666.93,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00004,Special Revenue Source Fund   ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0407,TRAFFIC SIGNAL-OFFICE DISTRICT,13,29362.82,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00004,Special Revenue Source Fund   ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0407,TRAFFIC SIGNAL-OFFICE DISTRICT,13,35534.14,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00004,Special Revenue Source Fund   ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0407,TRAFFIC SIGNAL UPGRADE & MODER,13,169367.3,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00004,Special Revenue Source Fund   ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0456,CROSSWALK IMPROVEMENTS        ,13,4350.01,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00004,Special Revenue Source Fund   ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0561,EXPOSITION CORRIDOR BIKE PATH ,13,230000,0,0,0,22817,0,0,0,0,0,0,0
B1,JB,00004,Special Revenue Source Fund   ,720,COMM & ECON DEV (CIP)         ,0827,CITY TV REPLACEMENT EQUIPMENT ,13,17151.27,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00004,Special Revenue Source Fund   ,720,COMM & ECON DEV (CIP)         ,4031,CITY TV STUDIO-ADELPHIA FUNDS ,13,61952.32,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00004,Special Revenue Source Fund   ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7025,ATMS PLAYA VISTA              ,13,327459.48,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00004,Special Revenue Source Fund   ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7045,MANGo MICHIGAN AVE NEIGH GREEN,13,16084.97,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00004,Special Revenue Source Fund   ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7069,TRAFFIX SOFTWARE UPGRADE      ,13,175000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00004,Special Revenue Source Fund   ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7079,MANGo MICHIGAN AVE NEIGH GREEN,13,70350,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00004,Special Revenue Source Fund   ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7081,COLORADO AVE ESPLANADE GRN STS,13,360000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00004,Special Revenue Source Fund   ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7082,CROSSWALK-ARIZONA & 21ST      ,13,30000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00004,Special Revenue Source Fund   ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",7083,VEHICLE & PED SAFETY STUDY    ,13,0,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00004,Special Revenue Source Fund   ,710,GENERAL GOVERNMENT (CIP)      ,8017,ERP SYSTEM REPLACEMENT        ,13,3700000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00006,Clean Bchs & Ocean Prcl Tx Fd ,760,WATER & WASTEWATER (CIP)      ,0265,PALISADES PARK DRAINAGE IMPROV,13,200000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00006,Clean Bchs & Ocean Prcl Tx Fd ,760,WATER & WASTEWATER (CIP)      ,6017,PERMEABLE SURFACE ALLEYS      ,13,75037.07,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00006,Clean Bchs & Ocean Prcl Tx Fd ,760,WATER & WASTEWATER (CIP)      ,6018,PERMEABLE STREET GUTTERS      ,13,169398,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00006,Clean Bchs & Ocean Prcl Tx Fd ,760,WATER & WASTEWATER (CIP)      ,6020,PARKWAY INFILTRATION SYSTEMS  ,13,689232.74,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00006,Clean Bchs & Ocean Prcl Tx Fd ,760,WATER & WASTEWATER (CIP)      ,6021,LOS AMIGOS PARK RETROFIT      ,13,868880.21,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00006,Clean Bchs & Ocean Prcl Tx Fd ,760,WATER & WASTEWATER (CIP)      ,6022,MARINE PARK RETROFIT          ,13,1050000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00006,Clean Bchs & Ocean Prcl Tx Fd ,760,WATER & WASTEWATER (CIP)      ,6023,STORM DRAIN IN-LINE INFILT STU,13,53815.75,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00006,Clean Bchs & Ocean Prcl Tx Fd ,760,WATER & WASTEWATER (CIP)      ,6024,REGIONAL IMPLEMENTATION PLAN  ,13,2000000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00006,Clean Bchs & Ocean Prcl Tx Fd ,760,WATER & WASTEWATER (CIP)      ,6025,TRASH BMP                     ,13,1492159.7,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00006,Clean Bchs & Ocean Prcl Tx Fd ,760,WATER & WASTEWATER (CIP)      ,6026,OCEAN PK BLVD STREETSCAPE IMPR,13,649458.08,0,0,0,0,0,0,0,0,0,0,-649458.08
B1,JB,00006,Clean Bchs & Ocean Prcl Tx Fd ,760,WATER & WASTEWATER (CIP)      ,9010,PROJ MGMT-PIER STORMDRAIN     ,13,15300,0,0,0,0,0,0,0,0,0,0,-15300
B1,JB,00011,Beach Recreation Fund         ,740,RECREATIONAL & CULTURAL (CIP) ,0081,PERCENT FOR ARTS              ,13,36769,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00011,Beach Recreation Fund         ,740,RECREATIONAL & CULTURAL (CIP) ,0520,415 PACIFIC COAST HIGHWAY     ,13,200000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00011,Beach Recreation Fund         ,740,RECREATIONAL & CULTURAL (CIP) ,0649,BEACH PARKING LOT IMPROVEMENTS,13,500000.71,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00011,Beach Recreation Fund         ,740,RECREATIONAL & CULTURAL (CIP) ,0758,REFURBISH LIFEGUARD HEADQUARTE,13,250000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00011,Beach Recreation Fund         ,740,RECREATIONAL & CULTURAL (CIP) ,0840,BEACH RESTROOM ACCESS RECONS  ,13,1232276.61,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00011,Beach Recreation Fund         ,740,RECREATIONAL & CULTURAL (CIP) ,6011,PLAYGROUND SHADE              ,13,181379.57,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00011,Beach Recreation Fund         ,740,RECREATIONAL & CULTURAL (CIP) ,6012,SIGNAGE & WAYFINDING-BEACH/PKS,13,13892.22,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00011,Beach Recreation Fund         ,740,RECREATIONAL & CULTURAL (CIP) ,6037,BEACH VOLLEYBALL CRTS & LIGHTS,13,70000,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00011,Beach Recreation Fund         ,740,RECREATIONAL & CULTURAL (CIP) ,6040,ACCESSIBLE BEACH WALKWAY      ,13,0,0,0,0,0,0,0,100000,0,0,0,0
B1,JB,00019,CDBG Fund                     ,720,COMM & ECON DEV (CIP)         ,4085,ENERGY UPGRADES KEN EDWARDS CT,13,100800,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00019,CDBG Fund                     ,740,RECREATIONAL & CULTURAL (CIP) ,6005,UNIVERSAL ACCESS PLAYGRNDS    ,13,4259.94,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00019,CDBG Fund                     ,740,RECREATIONAL & CULTURAL (CIP) ,6040,ACCESSIBLE BEACH WALKWAY      ,13,154000,0,0,0,0,0,0,-154000,0,0,0,0
B1,JB,00019,CDBG Fund                     ,740,RECREATIONAL & CULTURAL (CIP) ,6041,PARK RESTROOMS                ,13,700000,0,0,0,0,0,0,100000,0,0,0,0
B1,JB,00019,CDBG Fund                     ,720,COMM & ECON DEV (CIP)         ,7084,ALLEY RENEWAL PROGRAM         ,13,344039,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00020,Miscellaneous Grants Fund     ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0222,BIKE NTWK LINKS TO EXPO-PROP C,13,461387,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00020,Miscellaneous Grants Fund     ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0222,BIKE NTWK LINKS TO EXPO-METRO ,13,737255,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00020,Miscellaneous Grants Fund     ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0224,EXPO-COLORAD SO SIDE PED LIGHT,13,1050000,0,0,0,-175000,0,0,0,0,0,0,0
B1,JB,00020,Miscellaneous Grants Fund     ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0224,EXPO-RELOCATE TREES           ,13,175525.05,0,0,0,0,0,0,0,0,0,0,0
B1,JB,00020,Miscellaneous Grants Fund     ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0224,EXPO-ST AREA PLANNING         ,13,399923.83,0,0,0,-46499.85,0,0,0,0,0,0,0
B1,JB,00020,Miscellaneous Grants Fund     ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0224,EXPO-STATION - APPRAISAL      ,13,7251.12,0,0,0,-7251.12,0,0,0,0,0,0,0
B1,JB,00020,Miscellaneous Grants Fund     ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0224,EXPO-LTR ADVISORY SVCS        ,13,70783.08,0,0,0,-50000,0,0,0,0,0,0,0
B1,JB,00020,Miscellaneous Grants Fund     ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0397,EXPO MAINT YARD BUFF-PROP A LR,13,136704.23,0,0,0,0,0,0,0,0,0,24566,0
B1,JB,00020,Miscellaneous Grants Fund     ,770,"STRTS, TRFFC CNTRL, PKNG (CIP)",0397,PROP A LR-BUS STOP & SHELT IMP,13,1500000,0,0,0,0,0,0,0,0,0,0,0
